date;senders;receivers
1960-11-14;Heisenberg, Werner (1901-1976);Nationale Forschungs- und Gedenkstätten der Klassischen Deutschen Literatur (1953-1991)
1960-11-10;Nationale Forschungs- und Gedenkstätten der Klassischen Deutschen Literatur (1953-1991);Heisenberg, Werner (1901-1976)
1960-06-21;Heisenberg, Werner (1901-1976);Nationale Forschungs- und Gedenkstätten der Klassischen Deutschen Literatur (1953-1991)
1960-06-08;Nationale Forschungs- und Gedenkstätten der Klassischen Deutschen Literatur (1953-1991);Heisenberg, Werner (1901-1976)
1960-04-01;Heisenberg, Werner (1901-1976);Nationale Forschungs- und Gedenkstätten der Klassischen Deutschen Literatur (1953-1991)
1960-03-22;Nationale Forschungs- und Gedenkstätten der Klassischen Deutschen Literatur (1953-1991);Heisenberg, Werner (1901-1976)
1957;Nationale Forschungs- und Gedenkstätten der Klassischen Deutschen Literatur (1953-1991);Heisenberg, Werner (1901-1976)
1956-12-21;Heisenberg, Werner (1901-1976);Nationale Forschungs- und Gedenkstätten der Klassischen Deutschen Literatur (1953-1991)
1956;Nationale Forschungs- und Gedenkstätten der Klassischen Deutschen Literatur (1953-1991);Heisenberg, Werner (1901-1976)
1961-07-19;Nabl, Helmut;Heisenberg, Werner (1901-1976)
1961-06-16;Heisenberg, Werner (1901-1976);Nabl, Helmut
1961-06-10;Nabl, Helmut;Heisenberg, Werner (1901-1976)
1952-05-21;Heisenberg, Werner (1901-1976);Naegeli, Eduard [vermutlich]
1952-04-19;Naegeli, Eduard [vermutlich];Heisenberg, Werner (1901-1976)
1952-02-08;Heisenberg, Werner (1901-1976);Naegeli, Eduard [vermutlich]
1952-01-16;Heisenberg, Werner (1901-1976);Naegeli, Eduard [vermutlich]
1952-01-10;Naegeli, Eduard [vermutlich];Heisenberg, Werner (1901-1976)
1952-01-07;Heisenberg, Werner (1901-1976);Naegeli, Eduard [vermutlich]
1951-11-23;Unbekannt;Heisenberg, Werner (1901-1976)
1951-11-01;Heisenberg, Werner (1901-1976);Naegeli, Eduard [vermutlich]
1951-10-24;Naegeli, Eduard [vermutlich];Heisenberg, Werner (1901-1976)
1951-09-24;Heisenberg, Werner (1901-1976);Naegeli, Eduard [vermutlich]
1951-08-20;Naegeli, Eduard [vermutlich];Heisenberg, Werner (1901-1976)
1951-07-02;Heisenberg, Werner (1901-1976);Naegeli, Eduard [vermutlich]
1951-06-28;Naegeli, Eduard [vermutlich];Heisenberg, Werner (1901-1976)
1961-04-13;Neri, Alves;Heisenberg, Werner (1901-1976)
1975-07-28;Giese, Annemarie/ Heisenberg, Werner (1901-1976);Neumann, Manfred [vermutlich]
1975-05-28;Neumann, Manfred;Heisenberg, Werner (1901-1976)
1975-09-02;Giese, Annemarie/ Heisenberg, Werner (1901-1976);Neunzig, Hans A.
1975-08-29;Neunzig, Hans A.;Heisenberg, Werner (1901-1976)
o.D.;Nordalm, Wolfgang;Heisenberg, Werner (1901-1976)
1967-11-06;Heisenberg, Werner (1901-1976);Nordalm, Wolfgang
o.D.;Nordalm, Wolfgang;Heisenberg, Werner (1901-1976)
1965-09-27;Heisenberg, Werner (1901-1976);Nexø, Ida
1965-09-14;Nexø, Ida;Heisenberg, Werner (1901-1976)
1971-12-24;Niculescu, Christian;Heisenberg, Werner (1901-1976)
1971-10-08;Heisenberg, Werner (1901-1976);Niculescu, Christian
1971-09-12;Niculescu, Christian;Heisenberg, Werner (1901-1976)
1971-08-25;Heisenberg, Werner (1901-1976);Nikishin, Igor (1917-2013)
1971-08-18;Nikishin, Igor (1917-2013);Heisenberg, Werner (1901-1976)
1950-11-03;Heisenberg, Werner (1901-1976);Nishina, Yoshio
o.D.;Nishina, Yoshio/ Ariyama, Kanetaka (1904-1992)/ Ochiai, Ei-ichiro [vermutlich]/ Kimura, K. [vermutlich]/ Kroll, Wolfgang (1906-)/ Tomonaga, Shin'ichirō/ Fujioka, Yoshio (1903-1976)/ Yukawa, Hideki (1907-1981)/ Umeda, Kwai/ Kikuchi, Seishi (1902-1974)/ Sakai, S. [vermutlich]/ Watanabe, Satoshi;Heisenberg, Werner (1901-1976)
1967-04-10;Heisenberg, Werner (1901-1976);Grasmeyer, Günter
1967-03-22;Grasmeyer, Günter;Heisenberg, Werner (1901-1976)
1965-02-08;Grasmeyer, Günter;Heisenberg, Werner (1901-1976)
1965-01-22;Heisenberg, Werner (1901-1976);Grasmeyer, Günter
1965-01-18;Grasmeyer, Günter;Heisenberg, Werner (1901-1976)
1947-07-20;Normann, Fr. [vermutlich];Heisenberg, Werner (1901-1976)
1947-07-02;Heisenberg, Werner (1901-1976);Normann, Fr. [vermutlich]
1972-11-28;Notni, Dorothe;Heisenberg, Werner (1901-1976)
1971-01-08;Heisenberg, Werner (1901-1976);Notni, Werner
1970-12-29;Notni, Werner;Heisenberg, Werner (1901-1976)
1970-09-23;Heisenberg, Werner (1901-1976);Notni, Werner
1970-08-10;Notni, Werner;Heisenberg, Werner (1901-1976)
1970-06-26;Heisenberg, Werner (1901-1976);Notni, Werner
1970-06-23;Notni, Werner;Heisenberg, Werner (1901-1976)
1972-03-21;Otero, José María;Heisenberg, Werner (1901-1976)
1970-11-27;Heisenberg, Werner (1901-1976);Otero, José María
1970-11-25;Otero, José María;Heisenberg, Werner (1901-1976)
1969-05-30;Heisenberg, Werner (1901-1976);Otero, José María
1969-05-22;Otero, José María;Heisenberg, Werner (1901-1976)
1969-05-05;Heisenberg, Werner (1901-1976);Otero, José María
1969-03-24;Heisenberg, Werner (1901-1976);Otero, José María
1969-03-22;Otero, José María;Heisenberg, Werner (1901-1976)
1969-03-05;Heisenberg, Werner (1901-1976);Otero, José María
1969-02-14;Otero, José María;Heisenberg, Werner (1901-1976)
1969-02-07;Heisenberg, Werner (1901-1976);Otero, José María
1969-01-21;Otero, José María;Heisenberg, Werner (1901-1976)
1969-04-14;Otero, José María;Heisenberg, Werner (1901-1976)
